,name,thematic_area_id,thematic_area,requirements,work_methods,requirements_1,requirements_2,requirements_3,requirements_4
238,Asistente Administrativo(a),6,tech,soporte,"[""a""]",experiencia,proyectos,plataformas,equipo
239,¿Cómo podríamos normalizar la información adquirida por diferentes canales y/o medios para apoyar la toma de decisiones?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
240,Asistente de Servicio al Cliente manejo de PQR,17,consumer,trabajo,"[""a""]",empresa,profesional,servicio al cliente,recursos
241,Técnico o Tecnólogo Comercial,19,sales,recursos,"[""a""]",empresa,equipo,trabajo,negocios
242,Líder Comercial - Retail Offcorss Pereira,11,market,estrategias,"[""a""]",comercial,presupuestos,conocimiento,trabajo
243,KEY ACCOUNT MANAGER (ELECTRODOMESTICOS ALTA GAMA),8,design,liderazgo,in_house,profesional,gestion,relaciones,habilidades
244,Auxiliar Investigación y Desarrollo,13,product,trabajo,in_house,experiencia,calidad,compromiso,procesos
245,Ruby On Rails Developer,6,tech,inglés b2,mixed,teams,relaciones,creatividad,auxiliar administrativo
246,Practicante recursos humanos,9,talent,recursos humanos,virtual,trabajo,relaciones,recursos,social
248,¿Cómo podríamos encontrar aplicativos tecnológicos relacionados al sector que generen valor a la organización?,11,market,lider,to_be_agreed,estrategia,diseño,telecomunicaciones,entrenamiento
250,"¿Cómo podríamos certificar la transparencia del proceso de determinación del consumo del medidor (Toma lectura, análisis consumo, asignación de consumo al cliente), basados en soluciones blockchain?",6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
252,Intérprete Médico Remoto,17,consumer,conocimiento,in_house,servicio,habilidades,trabajo,experiencia
253,Asistente administrativo/a - Norte de la ciudad,16,finance,experiencia,virtual,trabajo,recursos humanos,empresa,equipo
257,Telefonista o mercaderista en el canal de droguería - Bogotá Cupo Fijo urgente (A),13,product,idiomas,in_house,ventas,servicios,trabajo,aprendizaje
259,Representante y/o Analista Comercial Trade Marketing - Profesional con carro (Valledupar),19,sales,manejo,virtual,desarrollo,ventas,estrategias,cinco
260,Prácticas Profesionales,11,market,recursos humanos,"[""a""]",talento,recursos,aprendizaje,auxiliar
261,Meseros Con Experiencia,17,consumer,seguridad,in_house,desarrollo,salud,servicio,empresa
262,Virtual Assistant,11,market,work,in_house,data,marketing,teams,experiencia
263,¿Cómo podríamos incitar a nuestros usuarios a hacer parte de una comunidad de seguidores de nuestra marca?,17,consumer,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
264,Auxiliar de tecnología,6,tech,empresa,in_house,trabajo,software,equipo,power
265,Jefe de Administración y Finanzas,16,finance,auditoria,in_house,control,inventarios,bases,power
267,Agente mesa de servicio - Agente mesa de ayuda,17,consumer,servicio,in_house,experiencia,empresarial,remoto,herramientas
268,¿Cómo podríamos conectar a grandes talentos emprendedores con nuestra organización?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
269,¿Cómo podríamos mejorar el proceso de almacenamiento en nuestro inventario aprovechando al máximo el espacio?,18,logistics,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
270,TTech_PROFESIONAL PAYROLL,6,tech,persona,in_house,soporte,equipo,calidad,informes
271,Técnico de Monitoreo de redes y seguridad.,7,communications,seguridad,to_be_agreed,service desk,monitoreo,infraestructura,networking
272,¿Cómo podríamos optimizar los recursos en el proceso de producción para así disminuir los residuos?,15,quality,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
274,"Líder, administrador punto de venta - Bogota",17,consumer,estrategias,"[""a""]",equipo,relaciones,administrador,trabajo
275,Analista de pruebas semi - senior,6,tech,analytics,in_house,caja,responsabilidad,software,seguros
276,¿Cómo se pueden aumentar las ventas de productos manufacturados de las fincas del sur del país?,19,sales,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
277,Coordinador Trade Marketing,11,market,capacidad,in_house,estrategias,equipo,desarrollar,estrategia
278,Supervisor de Operaciones FUNZA,5,legal,industrial,in_house,experiencia,calidad,inventarios,operaciones
279,"Urgente, operari@s de confeccion",13,product,servicios,in_house,empresa,transporte,experiencia,inventarios
280,¿Cómo podríamos optimizar la atención de los puntos de venta para mejorar la experiencia del cliente?,17,consumer,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
281,Ingeniero exp en pruebas funcionales de proyectos tecnológicos - Bogotá,13,product,servicio,"[""a""]",profesional,reclutamiento,servicios,whatsapp
282,¿Cómo podríamos asegurar el suministro de los insumos necesarios para evitar retrasos de producción?,18,logistics,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
283,"¿Cómo podríamos realizar el proceso de limpieza de maquinaria, sin necesidad de afectar o detener la producción?",15,quality,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
284,"Administrativo, Contable, Recurso Humano - Con experiencia",9,talent,habilidades,in_house,profesional,industrial,ingeniero,manejo
285,Analista Contable,13,product,profesional,"[""a""]",financiera,empresa,normatividad,desarrollo
286,¿Cómo podríamos facilitar a los empleados de diversas áreas una comunicación que permita transferir conocimientos?,15,quality,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
287,¿Cómo podríamos optimizar los tiempos de logística en nuestra organización?,18,logistics,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
288,Cajera - Sector hospitalario,17,consumer,trabajo,in_house,recursos,auxiliar,experiencia,recursos humanos
289,"¿Cómo podríamos mejorar la experiencia de nuestros usuarios de forma entretenida, en los momentos críticos de pago de productos?",19,sales,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
290,Programador Cobol Junior - Colombia,6,tech,cinco,virtual,desarrollo,civil,proyectos,cadena
291,Construcción - ¿Cómo estandarizar los procesos de gestión de materiales en una construcción  para garantizar la calidad en todo el proceso?,15,quality,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
292,Profesional producción I,13,product,trabajo,virtual,analizar,recursos,mantenimiento,servicio
293,Analista de datos,6,tech,sql,mixed,ingles intermedio,excel avanzado,programación,comercio
294,Auxiliar de Produccion y Empaque,5,legal,empresa,in_house,equipo,trabajo,experiencia,produccion
295,¿Cómo podríamos disminuir el gasto de energía en la producción?,2,production,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
296,Auxiliar o asistente administrativo  Riohacha,16,finance,auxiliar,in_house,experiencia,administrativo,experiencia,azure
297,"convocatoria de operarios de producción miercoles 24 de agosto 07:30am Urgente - Vivir en chía, Zipaquira o zonas aledañas",13,product,recursos,in_house,empresa,digital,experiencia,recursos humanos
298,Operario/Ayudante/ auxiliar de producción Sector industrial,13,product,recursos,in_house,empresa,auxiliar,procesos,equipo
299,¿Cómo podríamos crear una estrategia de trabajo en convenio con los proveedores para incrementar la eficiencia en nuestro trabajo?,3,suppliers,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
300,Coordinador comercial de seguros,19,sales,experiencia,"[""a""]",seguros,equipo,tecnico,empresa
301,Coordinador de selección - Zona Sur de Bogota,9,talent,procesos,in_house,empresa,experiencia,reclutamiento,comercio
302,Asesor de Calidad y Servicio al Cliente,5,legal,alimentos,in_house,recursos,informes,bienestar,recursos humanos
303,Coordinador de procesos de Diseño,8,design,profesional,in_house,procesos,normatividad,proyectos,calidad
304,Líder de proyectos y innovación,16,finance,proyectos,in_house,mejora,publicidad,mercados,experiencia
306,Como identificar los accidentes laborales mas frecuentes y con mas alto grado de afectación dentro de las organizaciones.,16,finance,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
307,¿Cómo podríamos incentivar a nuestros clientes a descargar y usar nuestra aplicación móvil?,17,consumer,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
308,"¿Cómo optimizar soluciones
tecnológicas que faciliten la
gestión de proyectos en una
pyme?",6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
309,Analista Creativo – Diseñador,8,design,mercado,"[""a""]",conocimiento,experiencia,publicidad,empresa
310,¿Cómo podríamos reinventar el proceso de embalaje desde la logística para hacerlo más eficiente?,18,logistics,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
311,Asesor servicio al cliente - Granada Meta,17,consumer,servicio,virtual,habilidades,manejo,experiencia,financiero
312,Coordinador(a) de Mercadeo,8,design,marketing,"[""a""]",mercado,ventas,mercadeo,redes
313,Technical Lead,6,tech,desarrollo frontend,to_be_agreed, angular versión 7 , html, css, micro fronted
314,EJECUTIVO COMERCIAL,19,sales,recursos,"[""a""]",ventas,equipo,auxiliar administrativo,talento
315,¿Cómo podríamos disminuir las perdidas en las líneas de producción?,2,production,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
316,Gerente surtimax guatapé,9,talent,ventas,in_house,alimentos,conocimiento,recursos,seguridad
317,Profesional de Evaluación de Proyectos,8,design,ideal,in_house,procesos,redes,proyectos,experiencia
319,Coordinador/Profesional E-Commerce,8,design,recursos humanos,virtual,trabajo,plataformas,equipo,experiencia
320,¿Cómo mejorar un proceso estratégico de la organización para incrementar la productividad?,15,quality,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
322,¿Cómo podríamos incrementar el uso de nuestro producto/servicio a través del tiempo?,17,consumer,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
323,Coordinador logistico- san antonio de prado,18,logistics,tecnica en logistica,in_house,vivir en itagui,tener moto,manejo de personal,experiencia logistic
324,Auxiliar logístico - Aeropuerto el dorado,7,communications,empresa,in_house,equipo,trabajo,conocimiento,experiencia
325,Desarrollador de Negocios - B2B - Manizales / Pereira / Armenia,13,product,procesos,in_house,comercial,experiencia,modelos,talento
326,Personal de Apoyo - Volanteo,17,consumer,trabajo,in_house,empresa,recursos,eventos,estrategias
327,Tecnico HseQ - Contratación inmediata,5,legal,empresa,"[""a""]",herramientas,normatividad,profesional,primeros auxilios
328,Ayudante de construcción,5,legal,herramientas,in_house,trabajo,transporte,desarrollar,experiencia
329,Recepcionista administrativa,9,talent,manejo de caja menor,in_house,verificación pagos,atención telefónica,seguridad de la info,bases de datos
330,Jr Operations Manager,5,legal,work,in_house,data,drive,internet,design
331,Financial Crime Officer,5,legal,responsabilidad,virtual,servicios,riesgos financieros,excel avanzado,redes
332,¿Cómo podríamos implementar nuevos métodos para la tecnificación de los procesos productivos en la organización?,2,production,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
333,Auxiliar Cajas,17,consumer,experiencia,in_house,eventos,caja,servicio,seguridad
335,Community Manager,11,market,experiencia,"[""a""]",comercial,bases,publicidad,redes
336,Encuestador call center,7,communications,procesos,"[""a""]",trabajo,experiencia,habilidades,datos
337,Diseñador Industrial,8,design,manejo,in_house,desarrollar,diseño,experiencia,power
339,Ejecutivo de Cuenta Montería,13,product,desarrollo,virtual,manejo,estrategias,empresa,profesional
341,¿Cómo podríamos disminuir las perdidas en las líneas de producción?,2,production,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
343,Key User Bilingüe,13,product,proyectos,in_house,mejora,mantenimiento,desarrollo,datos
344,000000,6,tech,ingles,to_be_agreed,trabajr en equipo,sql,python,universidad
345,Analista de contenidos virtuales,7,communications,cadena,in_house,cadena de suministro,conocimiento,social,experiencia
346,Ingeniero de Datos,6,tech,postgresql,mixed,pentaho,python,sql,python
347,Analista de Pruebas de Software,6,tech,analytics,in_house,sistemas,industrial,data,seguros
348,Administración,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
350,"Cons. Concreto
¿Cómo podríamos estandarizar los procesos de implementación y construcción de guadua para disminuir con las brechas entre el sector constructivo a través de un material de formación?",15,quality,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
351,¿Cómo podríamos reinventar el proceso de selección creando una experiencia memorable para los aspirantes?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
352,Auxiliar de redes sociales con experiencia en PQRS,7,communications,experiencia,in_house,manejo,redes sociales,redes,equipo
353,Asistente Ejecutivo/A,9,talent,profesional,in_house,materiales,mercado,desarrollo,eventos
357,20484-Supervisor Comercial de Crédito,19,sales,procesos,"[""a""]",trabajo,historia,comercial,paquete
358,Líder de contratación,9,talent,normatividad,in_house,equipo,recursos,ingles básico,comercio
359,Ingeniero/a de T.I.,6,tech,redes,in_house,auditoria,software,empresa,jenkins
360,202310 - ASESOR/A EMPRESARIO/A,6,tech,comercial,in_house,proyecto,mercado,creatividad,bienestar
361,DevOps Engineer,6,tech,english,mixed,vpn,aws vpc,dns,jenkins
362,"¿Cómo podríamos identificar la información de mayor importancia para el cliente, en cuanto a un producto/servicio?",17,consumer,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
364,Visual Display Product Manager /Marketing (Nivel de Ingles Intermedio),11,market,transporte,virtual,informes,experiencia,relaciones,equipo
365,Analista de Pruebas,6,tech,calidad,in_house,profesional,empresa,proyectos,experiencia
366,Gestor Audiovisual e learning,8,design,estrategias,in_house,reclutamiento,manejo,experiencia,universidad
367,Operarios de producción - Sin experiencia,13,product,servicios,in_house,experiencia,empresa,paquete,jenkins
368,Auxiliar atención al cliente - Teletrabajo,17,consumer,experiencia,in_house,talento,computador,herramientas,servicio
370,¿Cómo disminuir el tiempo de contratación?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
371,Desarrollador .NET Full Stack,6,tech,.net core,virtual,.net,angular v6 o superio,api rest,postgresql
372,CAJERAS - 34302,17,consumer,conocimiento,in_house,servicio,experiencia,caja,manejo
373,Analista de Sarlaft,13,product,talento,virtual,experiencia,desarrollo,datos,modelos
374,¿Cómo podríamos implementar un sistema de indicadores o resultados financieros automáticos en la organización?,16,finance,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
375,Agentes call center para servicio al cliente - trabajo presencial puente aranda,17,consumer,transporte,in_house,servicio,presencial,empresa,experiencia
376,Ingeniero químico- innovación y desarrollo de alimentos,6,tech,ingeniero,virtual,decisiones,.,recursos,proyectos
377,AUXILIAR BODEGA SIBERIA,7,communications,manejo,in_house,experiencia,trabajo,power bi,diseño
378,AUXILIAR ADMINISTRATIVO – SIBERIA,17,consumer,no,in_house,manejo,transporte,servicio,servicio al cliente
379,¿Cómo podríamos incrementar el uso de nuestro producto/servicio a través del tiempo?,17,consumer,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
380,ADMINISTRADOR DE TIENDA - BOGOTA NORTE,13,product,trabajo,in_house,aprender,analizar,equipo,responsabilidad
383,Jefe de cartera,16,finance,call center,to_be_agreed,ejecuciones de aval,perfil de cliente,primera base pirámid,estrategias de cobro
386,Desarrollador Odoo,6,tech,odoo,to_be_agreed,python,django,postgressql,mysql
387,Treasury Accounting Associate,16,finance,habilidades,in_house,equipo,experiencia,procesos,leer
388,Oficial de Empleabilidad- Popayan,13,product,profesional,"[""a""]",ciencias,procesos,compromiso,proyectos
389,¿Cómo podríamos normalizar la información adquirida por diferentes canales y/o medios para apoyar la toma de decisiones?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
390,Supervisor(a) de Construcción y Operación Curumaní,13,product,desarrollo,in_house,experiencia,infraestructura,proyectos,puntualidad
391,Conversemos en red,7,communications,sistema,to_be_agreed,servicio cliente,mejoramiento continuo,habilidades,docente
393,Analista contable - copia,9,talent,recursos,in_house,web,manejo,experiencia,software
395,Coordinador contable / contratación inmediata,13,product,publicidad,in_house,profesional,mejora,procesos,desarrollo
396,Supervisor Comercial puntos de venta - Retail,19,sales,presencial,"[""a""]",estrategias,procesos,equipo,comercial
397,Agente de Servicio al cliente,17,consumer,procesos,in_house,experiencia,bienestar,servicio,universidad
398,INGENIERO DE SERVICIOS DIGITALES 1 LÍDER TÉCNICO,6,tech,arquitectura técnica,mixed,gestión servicios de,diseño soluciones ti,gestión información,power
399,¿Cómo podríamos crear conciencia mediante un nuevo sistema de Responsabilidad social organizaciónrial (RSE) que genere un impacto positivo?,1,rse,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
400,Auxiliar recursos humanos,9,talent,experiencia,in_house,recursos,recursos humanos,financiera,auxiliar administrativo
401,Analista de Desarrollo de Negocios Internacionales,11,market,experiencia,in_house,herramientas,mysql,webservice,comercio
402,¿Cómo podríamos mejorar la comunicación con nuestros clientes para tener un servicio más efectivo/cercano?,7,communications,sistema,to_be_agreed,servicio cliente,mejoramiento continuo,habilidades,docente
403,¿Cómo podríamos disminuir los tiempos de entrega de productos al cliente final?,17,consumer,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
405,Líder técnico,9,talent,sistemas,in_house,procesos,ingeniero,industrial,recursos
406,"¿Cómo podríamos hacer uso del Internet de las Cosas (IoT) en puntos de venta, para mejorar la experiencia y el feedback del usuario?",4,strategy,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
407,AGILE PROJECT MANAGER - BILINGÜE,6,tech,ingles,virtual,scrum,gestion de proyectos,jira,talento
409,¿Cómo podríamos atraer nuevos talentos con ideas frescas que le den valor a nuestra organización?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
411,Analista de Mejoramiento de Procesos,13,product,riesgos,in_house,proyectos,desarrollo,profesional,experiencia
413,Asistente Legal Bilingüe,5,legal,aprender,in_house,experiencia,bases,compromiso,bienestar
414,Auxiliar logistico,16,finance,experiencia,in_house,empresa,trabajo,equipo,auxiliar administrativo
415,¿Cómo podríamos generar una propuesta tentadora con proveedores para alianzas a largo plazo?,3,suppliers,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
416,¿Cómo podríamos hacer uso de diferentes modelos de Big Data para aprovechar la información de usuarios y así tomar decisiones estratégicas?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
417,Citacion Agente de Rampa,5,legal,experiencia,in_house,empresa,mysql,webservice,comercio
418,Analista Metricas Digital,11,market,datos,virtual,equipo,conocimiento,trabajo,experiencia
419,Product Owner,7,communications,talento,in_house,trabajo,bienestar,datos,experiencia de usuario
420,17626-Asesor Comercial Motos,11,market,ventas,in_house,relaciones,responsabilidad,persona,comercial
421,Mesero con experiencia en servicio para Colsubsio,17,consumer,seguridad,in_house,en equipo,desarrollo,no,servicio
422,PROFESIONAL II DE SOLUCIONES DIGITALES,13,product,software,in_house,desarrollo de software,soporte,plataformas,desarrollo
423,Gerente comercial de sede - Cartagena,19,sales,recursos,"[""a""]",liderazgo,equipo,comercial,trabajo
424,Practicante Mercadeo - Mercadeo Digital,11,market,experiencia,in_house,equipo,bases,compromiso,bienestar
425,"¿Como hacer una aplicación de facil manejo con tematicas y metodologia divertidas y a la que tengan acceso trabajadores de sueldo medio, estudiantes, amas de casa, docentes  y otros?",13,product,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
426,Diseñador grafico,8,design,profesional,"[""a""]",diseño,empresa,desarrollo,experiencia
427,Administrador de bases de datos dba,6,tech,linux,to_be_agreed,sql,aws,recovery,desaster
428,Coordinador de Proyectos - Líder de Tecnología y Aplicaciones,6,tech,telecomunicaciones,in_house,sistemas,redes,proyectos,experiencia
429,auxiliar administrativo,17,consumer,administrativo,virtual,desarrollo,manejo,auxiliar administrativo,empresa
432,Químico Farmacéutico,5,legal,empresa,in_house,equipo,normatividad,trabajo,experiencia
433,Gestor de Atención al Cliente - Barranquilla,7,communications,social,in_house,experiencia,manejo,redes,power
434,Bancolombia - ¿Cómo conceptualizar y generar infraestructura que permita acceder y analizar big data y preparación de datos sin procesos para manipulación por científicos de datos?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
435,Especialista Funcional,6,tech,mejora continua,in_house,procesos,bienestar,agiles,mejora
437,¿Cómo podríamos llegar a nuevos territorios a través de canales digitales?,14,channels,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
438,Diseñador Jr. - Presencial Medellin (LG),8,design,diseño grafico,virtual,mercadeo,redes,servicio,experiencia
439,DevOps,6,tech,jenkins y aws,mixed,code pipeline,gilab,terraform,transporte
440,Estudiante de comunicación social con experiencia en Redes sociales - PQR para trabajar en Funza en Celta,7,communications,auxiliar,"[""a""]",social,experiencia,periodismo,manejo
441,Director De Operaciones - (Uf987),6,tech,comercial,in_house,experiencia,alimentos,auxiliar administrativo,recursos humanos
442,Arquitecto de Procesos - Sector Financiero,16,finance,trabajo,in_house,paquete,diseño,mejora,manejo
444,¿Cómo podríamos reinventar el proceso de selección creando una experiencia memorable para los aspirantes?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
445,Senior Product Designer,6,tech,scrum,to_be_agreed,ux writing,diseñador ux - ui,power bi,power
446,"¿Cómo podríamos crear un plan de beneficios, que de a los colaboradores una recompensa basados en sus intereses y motivaciones?",9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
448,Analista de Recursos humanos,9,talent,recursos,in_house,procesos,experiencia,recursos humanos,agile-scrum
449,Equipo Medición Comercial (Todo Colombia),13,product,tratamiento,in_house,presupuestos,aprendizaje,ciencias,mejora
450,Urgente- - Promotor con Experiencia - Armenia - Contratación Inmediata,6,tech,desarrollo,in_house,trabajo,proyectos,aprendizaje,servicios
451,Agentes Call Center sin experiencia Pereira,17,consumer,transporte,"[""a""]",servicio,presencial,experiencia,virtual
452,Comercial,19,sales,comercio,virtual,procesos,comercial,trabajo,experiencia
454,Agente call center// servicio al cliente.,17,consumer,servicio,in_house,servicio al cliente,publicidad,redes,experiencia
456,¿Cómo podríamos estandarizar ciertas metodologías efectivas para agilizar los procesos de logística en la organización?,15,quality,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
457,Coordinador Analista de visual Merchandising Bucaramanga /U R G E N T E,8,design,presencial,in_house,diseño,mercadeo,empresa,experiencia
458,18929-Asesor Comercial Repuestos,19,sales,experiencia,in_house,ventas,mercado,industrial,empresa
459,¿Cómo podríamos mejorar un proceso para incrementar nuestra productividad?,15,quality,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
461,Asistente de seguridad TI,6,tech,no,in_house,redes,sistemas,experiencia,desarrollar
462,Ejecutivo comercial financiero,19,sales,financiero,in_house,comercial,empresa,ventas,idiomas
463,Finance Analyst (739378),16,finance,experiencia,in_house,drive,perfil de cliente,transporte,idiomas
464,¿Cómo podríamos diseñar un modelo que pueda predecir el comportamiento de usuarios y/o empleados frente a un tema específico?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
465,Supervisor/a comercial para Depositos Farmaceuticos- Bogota,19,sales,empresa,"[""a""]",comercial,servicios,trabajo,talento
466,Profesionales en Derecho/ Carreras administrativas/ ingenieria de sistemas y Tecnicos Automotrices,5,legal,sistemas,virtual,recursos humanos,trabajo,recursos,experiencia
468,Psicologo (a) Servicio Gestión Humana - Freelance Medellin,9,talent,servicio,in_house,reclutamiento,soporte,experiencia,procesos
469,Ingeniero de automatización,6,tech,sql server,to_be_agreed,ssis,ssrs,financiera,jenkins
470,Talentee Community Manager,4,strategy,inglés,virtual,colaboración,trabajo en equipo,logística,diseño
472,¿Cómo podríamos incluir un plan de carrera que impulse las capacidades de nuestros empleados en su labor?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
473,Docente de Ingles - para área de Bachillerato,13,product,experiencia,in_house,recursos,estrategias,materiales,trabajo
474,Aprendiz Universitario en Ingeniería en Diseño de Entretenimiento Digital (35569),8,design,capacidad,virtual,aprendizaje,plataformas,desarrollo,estrategia
475,Crear una administrador de cuentas para un banco,13,product,scrum,to_be_agreed,vue,django.,excel,mysql
476,"Supervisor de tienda, Administrador de tienda, Líder de tienda // Contrato indefinido + beneficios - Contratación inmediata, Neiva!!",17,consumer,experiencia,virtual,trabajo,servicio,empresa,equipo
477,Docente Diseño Gráfico - Módulo Redacción,8,design,profesional,in_house,social,experiencia,coaching,docente
478,Analista de Tesorería sector cooperativo,16,finance,caja,"[""a""]",financiero,recursos,coordinar,experiencia
479,Asesor/a comercial con o sin experiencia para trabajar en venta de Tecnologìa,6,tech,experiencia,in_house,comercial,cadena,empresa,idiomas
481,Operarios de Producción -LITO - Bucaramanga,13,product,recursos,in_house,empresa,transporte,experiencia,recursos humanos
482,¿Cómo podríamos crear una estrategia de marketing digital para atraer más clientes?,11,market,lider,to_be_agreed,estrategia,diseño,telecomunicaciones,entrenamiento
483,¿Como generar fidelización a la marca?,17,consumer,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
484,Recepcionista/hotel,17,consumer,servicio,in_house,experiencia,recepcionista,desarrollo,internet
485,Asistente comercial - Presencial,17,consumer,servicio,in_house,empresa,servicio al cliente,comercial,publicidad
486,Asesor PQRs telecomunicaciones,5,legal,trabajo,in_house,telecomunicaciones,contabilidad,experiencia,ideal
487,Prácticas Profesionales - Postobón,5,legal,industrial,in_house,negocios,mercado,calidad,modelos
488,Coordinador canal moderno Junior - Bogotá Contratación Inmediata,7,communications,servicio,"[""a""]",alimentos,equipo,persona,agile-scrum
489,¿Cómo podríamos diseñar un modelo que pueda predecir el comportamiento de usuarios y/o empleados frente a un tema específico?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
490,KET ACCOUNT MANAGER,19,sales,excel avanzado,mixed,redes sociales,gestión de office,ingles básico,desarrollo
491,¿Cómo podríamos predecir cuándo es necesario un insumo para evitar demoras en el proceso de producción?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
492,Asesor comercial call center o presencial - trabajo hibrido,17,consumer,trabajo,in_house,presencial,financiero,comercial,ventas
493,Auxiliar de facturación,17,consumer,servicio,"[""a""]",teams,relaciones,creatividad,auxiliar administrativo
494,Comunicadora Social,8,design,experiencia,"[""a""]",idiomas,soporte,capacidad,consulta
495,Data engineer,6,tech,sql,virtual,azure,etl/elt,power bi,transporte
496,Supervisores de servicio al cliente para el sector salud (no ventas),17,consumer,servicio,in_house,liderazgo,en equipo,transporte,experiencia
497,14592-Consultor(a) Integral Servicio A Clientes,7,communications,cultura,in_house,profesional,herramientas,procesos,power
499,¡Aplica ya! Asesor de CALL center servicio al cliente comercial o afines Proceso de Selección virtual/ lunes a sabado de dia NO de noche ni madrugada,17,consumer,no,in_house,servicio,profesional,servicio al cliente,calidad
500,¿Cómo podríamos hacer más eficiente el proceso de selección de talento?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
501,Urgente auxiliar de compras - Lebrija,16,finance,empresa,in_house,recursos,operaciones,auxiliar,habilidades
502,Vp de Recursos Humanos,8,design,recursos humanos,in_house,talento,cultura,recursos,empresa
503,Business Development Representative - Colombia,11,market,cultura,in_house,experiencia,ventas,equipo,mercados
505,Líder en Tecnología,6,tech,scrum,in_house,liderazgo,seguridad,programación,desarrollo
506,Soporte de Impresoras- Técnico en Sistemas,6,tech,soporte,in_house,experiencia,sistemas,servicio,persona
507,"¿Cómo podríamos reconocer nuevas oportunidades de negocio, teniendo en cuenta nuestro público actual?",11,market,lider,to_be_agreed,estrategia,diseño,telecomunicaciones,entrenamiento
508,Analista de Diseño Gráfico,8,design,profesional,in_house,diseño,redes,desarrollo,herramientas
509,ANALISTA HSEQ,5,legal,seguridad,in_house,recursos,herramientas,procesos,salud
512,¿son las redes un medio para que el cliente exija nuestros productos?,7,communications,sistema,to_be_agreed,servicio cliente,mejoramiento continuo,habilidades,docente
514,Lider de Gestión Humana,9,talent,cultura,in_house,relaciones,profesional,experiencia,soporte
515,Especialista en Automatización de Procesos,6,tech,rest ap,to_be_agreed,proceso bpm,motor bpm,bpm,postgresql
516,¿Como posicionar el comercio electrónico como aliado estratégico para emprendedores en Colombia?,11,market,lider,to_be_agreed,estrategia,diseño,telecomunicaciones,entrenamiento
517,¿Cómo podriamos tener efectividad en la trazabilidad de la información de las reservas en un hotel?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
